"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"319","Morgan Rielly","TOR","D","82","1896.0166666667","20","52","25","27","72","48.32","223","8.97","10.41","490","309","125","15","7","25","14","7","7","0","0","8","94","60","61","104","114","0","1","0.00"
"409","Max Domi","MTL","C, L","82","1425.3166666667","28","44","27","17","72","76.60","203","13.79","20.49","362","273","200","73","10","30","80","33","30","2","1","30","70","47","53","84","39","447","549","44.88"
"117","Logan Couture","S.J","C","81","1506.1833333333","27","43","26","17","70","63.64","204","13.24","21.6","361","288","201","87","12","20","22","10","10","0","0","11","36","71","65","95","52","282","327","46.31"
"128","Evgenii Dadonov","FLA","R","82","1506.4333333333","28","42","22","20","70","56.00","195","14.36","26.34","359","280","238","110","13","18","8","4","4","0","0","15","59","45","33","125","42","2","3","40.00"
"154","John Carlson","WSH","D","80","2005.1833333333","13","57","35","22","70","45.16","185","7.03","10.63","397","267","103","18","11","19","34","13","12","0","1","8","87","55","54","82","164","0","0","-"
"173","Mike Hoffman","FLA","L","82","1462.7","36","34","14","20","70","67.31","253","14.23","20.18","441","333","196","60","15","19","30","15","15","0","0","16","98","48","42","74","26","13","25","34.21"
"183","Matt Duchene","CBJ, OTT","C","73","1374.9","31","39","25","14","70","68.63","172","18.02","19.93","275","227","187","85","9","16","8","4","4","0","0","15","68","50","28","107","40","676","546","55.32"
"168","Cam Atkinson","CBJ","R","80","1550.2333333333","41","28","11","17","69","67.65","295","13.90","30.05","487","411","283","120","16","28","20","10","10","0","0","9","45","47","27","29","25","24","52","31.58"
"291","Ryan Nugent-Hopkins","EDM","C","82","1648.3833333333","28","41","16","25","69","66.99","208","13.46","22.15","357","273","237","102","15","26","26","13","13","0","0","24","56","59","69","85","40","379","461","45.12"
"237","Vladimir Tarasenko","STL","R","76","1397.2833333333","33","35","16","19","68","73.12","275","12.00","25.72","491","356","287","102","15","34","22","7","6","0","1","17","31","34","88","70","40","4","2","66.67"
"132","Jakub Voracek","PHI","R","78","1456.4333333333","20","46","29","17","66","69.47","210","9.52","18.65","383","285","177","66","6","36","25","11","10","1","0","20","58","32","17","75","29","12","18","40.00"
"464","Kyle Connor","WPG","L","82","1578.7166666667","34","32","20","12","66","55.46","227","14.98","28.84","355","296","234","129","11","28","18","9","9","0","0","10","33","56","9","80","21","8","5","61.54"
"472","Timo Meier","S.J","R","78","1323.4166666667","30","36","20","16","66","72.53","250","12.00","28.36","444","346","304","149","20","37","55","25","24","1","0","36","38","49","99","109","40","12","26","31.58"
"536","Elias Pettersson","VAN","C","71","1294.0666666667","28","38","24","14","66","76.74","144","19.44","14.32","267","202","150","42","9","13","12","6","6","0","0","34","52","41","42","85","51","257","370","40.99"
"427","Sam Reinhart","BUF","C","82","1554.5333333333","22","43","28","15","65","65.00","181","12.15","22.61","325","276","204","118","11","13","16","8","8","0","0","16","46","39","38","123","47","31","56","35.63"
"43","Joe Pavelski","S.J","C","75","1428.3","38","26","17","9","64","66.67","188","20.21","26.81","297","251","225","124","10","30","22","11","11","0","0","25","45","41","69","54","61","526","463","53.19"
"246","Ryan Johansen","NSH","C","80","1564.4166666667","14","50","29","21","64","62.75","136","10.29","16.08","225","174","136","81","5","16","42","20","20","0","0","13","66","43","95","41","23","782","679","53.52"
"241","Jeff Skinner","BUF","C, L","82","1518.4833333333","40","23","15","8","63","58.88","268","14.93","30.01","431","355","287","131","10","28","36","18","18","0","0","40","39","56","31","66","24","157","144","52.16"
"77","Keith Yandle","FLA","D","82","1840.3666666667","9","53","35","18","62","48.44","199","4.52","9.86","408","279","82","6","12","23","50","21","20","0","1","12","110","27","47","27","76","0","0","-"
"481","Mathew Barzal","NYI","C","82","1469.6833333333","18","44","23","21","62","82.67","179","10.06","19.68","293","230","208","92","8","21","46","23","23","0","0","32","117","66","25","111","56","241","339","41.55"
"31","Zach Parise","MIN","L","74","1381.45","28","33","17","16","61","72.62","229","12.23","27.52","345","290","222","134","8","27","26","13","13","0","0","22","25","22","49","82","71","9","25","26.47"
"407","Bo Horvat","VAN","C","82","1708.5166666667","27","34","15","19","61","61.62","227","11.89","26.28","355","292","236","128","7","25","33","15","14","1","0","18","38","28","62","74","63","1083","935","53.67"
"522","Pierre-Luc Dubois","CBJ","C","82","1452.6666666667","27","34","19","15","61","58.10","174","15.52","20.64","309","248","225","96","7","19","64","32","32","0","0","29","54","45","115","133","52","455","592","43.46"
"66","Anze Kopitar","L.A","C","81","1806.1833333333","22","38","27","11","60","65.22","156","14.10","19.43","298","227","174","82","10","25","30","15","15","0","0","24","58","57","59","86","66","1002","817","55.09"
"162","Gustav Nyquist","DET, S.J","C, R","81","1419.1","22","38","19","19","60","68.97","204","10.78","20.11","350","273","212","76","5","20","12","6","6","0","0","14","74","42","36","71","23","11","11","50.00"
"359","Erik Gustafsson","CHI","D","79","1784.1833333333","17","43","24","19","60","52.17","160","10.63","8.11","345","228","88","11","3","16","34","17","17","0","0","9","77","34","100","154","115","0","0","-"
"199","Tyson Barrie","COL","D","78","1698.5333333333","14","45","28","17","59","54.13","218","6.42","11.11","441","298","118","23","6","34","36","17","17","0","0","9","41","28","48","84","93","0","0","-"
"311","Jonathan Marchessault","VGK","C","82","1488.0166666667","25","34","16","18","59","62.11","278","8.99","27.55","486","378","246","88","14","24","52","26","26","0","0","24","68","51","98","106","22","92","155","37.25"
"198","Tomas Tatar","MTL","L","80","1311.9166666667","25","33","21","12","58","75.32","195","12.82","19.5","340","262","199","85","17","23","34","17","17","0","0","12","44","52","77","84","30","10","29","25.64"
"478","Dylan Strome","ARI, CHI","C","78","1260.0333333333","20","37","19","18","57","58.16","146","13.70","14.4","236","187","139","64","10","12","20","10","10","0","0","9","34","47","13","73","46","434","463","48.38"
"75","Kris Letang","PIT","D","65","1687.35","16","40","25","15","56","47.46","206","7.77","10.4","379","265","96","15","8","25","48","20","19","0","1","12","76","63","116","96","111","0","0","-"
"148","Josh Bailey","NYI","R","82","1379.8666666667","16","40","26","14","56","72.73","126","12.70","12.85","221","162","150","57","6","15","21","9","8","1","0","6","80","41","19","42","32","140","132","51.47"
"155","Roman Josi","NSH","D","82","2063.5666666667","15","41","21","20","56","54.37","274","5.47","17.05","508","364","150","36","12","28","42","17","16","0","1","12","65","36","53","100","144","0","1","0.00"
"184","Evander Kane","S.J","L","75","1380.7833333333","30","26","13","13","56","62.92","268","11.19","27.1","446","351","263","126","21","39","153","47","38","3","6","28","38","48","173","143","25","92","120","43.40"
"264","Ryan Dzingel","CBJ, OTT","C, L","78","1311.5666666667","26","30","19","11","56","66.67","159","16.35","15.81","250","195","161","77","4","20","29","13","12","1","0","8","39","25","54","65","38","39","56","41.05"
"288","William Karlsson","VGK","C","82","1545.45","24","32","20","12","56","65.88","169","14.20","19.73","316","244","189","90","18","19","16","8","8","0","0","17","41","73","51","103","55","588","646","47.65"
"460","Kevin Labanc","S.J","R","82","1149.6166666667","17","39","18","21","56","70.89","130","13.08","13.93","253","191","147","51","6","8","36","18","18","0","0","14","51","22","66","89","16","9","14","39.13"
"480","Brock Boeser","VAN","R","69","1322.3","26","30","16","14","56","64.37","209","12.44","19.97","403","289","218","67","9","19","22","11","11","0","0","10","33","40","14","48","22","39","51","43.33"
"235","Kevin Hayes","NYR, WPG","C, R","71","1297.8833333333","19","36","20","16","55","76.39","156","12.18","19.46","298","216","181","79","13","19","12","6","6","0","0","14","60","61","58","54","15","483","498","49.24"
"487","Thomas Chabot","OTT","D","70","1700.2166666667","14","41","12","29","55","47.41","185","7.57","10","377","244","108","24","11","22","32","16","16","0","0","16","72","31","71","114","112","0","0","-"
"68","T.J. Oshie","WSH","R","69","1284.1666666667","25","29","14","15","54","56.84","144","17.36","19.78","263","219","183","95","3","21","36","17","17","0","0","23","38","46","133","93","55","84","121","40.98"
"182","Victor Hedman","T.B","D","70","1593.9333333333","12","42","21","21","54","43.20","182","6.59","10.3","328","254","94","28","16","18","44","22","22","0","0","9","50","32","59","68","97","0","1","0.00"
"185","Brayden Schenn","STL","C","72","1337.3833333333","17","37","25","12","54","65.85","159","10.69","21.98","263","226","203","102","11","11","40","17","15","2","0","14","42","51","111","89","31","323","357","47.50"
"249","Mikael Granlund","MIN, NSH","C, R","79","1449.1333333333","16","38","27","11","54","76.06","189","8.47","16.95","329","252","160","64","10","26","24","12","12","0","0","18","34","47","46","145","40","129","159","44.79"
"356","Andreas Athanasiou","DET","C","76","1290.0666666667","30","24","17","7","54","72.97","216","13.89","20.01","387","304","215","88","16","11","38","15","14","0","1","32","47","26","33","64","26","171","228","42.86"
"7","Justin Williams","CAR","R","82","1430.3","23","30","18","12","53","60.92","237","9.70","27.18","377","317","218","126","9","28","44","22","22","0","0","27","88","63","55","167","32","92","150","38.02"
"109","Jamie Benn","DAL","L","78","1421.7","27","26","15","11","53","58.89","189","14.29","24.02","329","255","214","115","6","20","56","25","23","2","0","19","80","44","142","68","71","205","213","49.04"
"197","Reilly Smith","VGK","R","74","1352.1","19","34","22","12","53","63.86","178","10.67","22.76","302","239","200","92","12","9","14","7","7","0","0","12","54","67","39","96","33","5","2","71.43"
"232","Brock Nelson","NYI","C","82","1473.7166666667","25","28","13","15","53","71.62","181","13.81","21.51","294","236","213","95","10","9","28","14","14","0","0","15","47","54","51","114","55","594","652","47.67"
"250","Nino Niederreiter","CAR, MIN","R","82","1330.4666666667","23","30","16","14","53","63.86","184","12.50","23.08","326","256","218","118","6","28","30","15","15","0","0","14","39","51","94","145","20","37","30","55.22"
"307","Phillip Danault","MTL","C","81","1438.8166666667","12","41","26","15","53","65.43","132","9.09","15.36","236","181","145","70","8","19","39","18","17","1","0","18","53","49","95","111","60","882","706","55.54"
"314","Torey Krug","BOS","D","64","1363.2166666667","6","47","25","22","53","55.79","151","3.97","7.72","318","225","64","7","2","20","33","11","9","1","1","10","52","20","53","84","60","0","0","-"
"401","Jonathan Drouin","MTL","C, L","81","1371.4333333333","18","35","26","9","53","67.95","190","9.47","15.19","325","247","143","46","7","19","26","12","12","0","0","21","48","50","55","52","23","37","51","42.05"
"23","Eric Staal","MIN","C","81","1468.15","22","30","17","13","52","60.47","215","10.23","23.96","350","278","208","109","14","23","34","17","17","0","0","15","39","49","41","63","28","642","615","51.07"
"194","Chris Kreider","NYR","L","79","1375.0666666667","28","24","11","13","52","53.61","201","13.93","25.25","323","279","213","136","16","20","57","23","21","1","1","6","52","31","159","82","49","27","45","37.50"
"256","Brendan Gallagher","MTL","R","82","1343.4","33","19","9","10","52","63.41","302","10.93","33.1","556","404","324","166","25","39","49","23","22","1","0","24","30","57","126","139","31","23","28","45.10"
"439","Alex Tuch","VGK","R","74","1237.7833333333","20","32","13","19","52","65.00","180","11.11","20.12","327","250","195","85","13","31","8","4","4","0","0","11","51","69","92","93","40","43","69","38.39"
"3","Joe Thornton","S.J","C","73","1135.0333333333","16","35","23","12","51","67.11","90","17.78","9.9","149","117","87","35","3","14","20","10","10","0","0","12","42","43","17","29","14","356","319","52.74"
"29","Dustin Brown","L.A","R","72","1469.2333333333","22","29","19","10","51","63.75","180","12.22","17.89","296","231","179","86","7","19","24","12","12","0","0","14","44","31","150","87","29","1","16","5.88"
"212","Anders Lee","NYI","L","82","1401.2","28","23","14","9","51","59.30","204","13.73","29.91","332","283","268","175","8","23","58","25","23","2","0","23","29","22","103","102","51","75","80","48.39"
"176","Kyle Palmieri","N.J","R","74","1343.4833333333","27","23","15","8","50","59.52","224","12.05","20.14","383","300","174","64","6","17","42","21","21","0","0","26","37","36","98","117","35","24","62","27.91"
"335","Jacob Trouba","WPG","D","82","1876","8","42","16","26","50","44.64","162","4.94","8.75","367","251","72","13","4","21","58","28","28","0","0","10","86","48","112","70","171","0","0","-"
"336","Filip Forsberg","NSH","L","64","1191.45","28","22","16","6","50","68.49","217","12.90","25.13","435","318","241","88","16","27","26","13","13","0","0","29","67","69","100","65","29","1","6","14.29"
"514","Patrik Laine","WPG","R","82","1413.1166666667","30","20","17","3","50","52.08","245","12.24","22.93","470","354","202","56","10","24","42","20","20","0","0","14","48","28","70","78","44","11","19","36.67"
"55","Carl Soderberg","COL","C","82","1430.8166666667","23","26","15","11","49","70.00","188","12.23","20.11","314","242","204","107","14","22","26","13","13","0","0","22","26","49","99","98","67","528","542","49.35"
"477","Travis Konecny","PHI","C, R","82","1251.0666666667","24","25","14","11","49","72.06","182","13.19","17","296","251","163","67","11","19","40","17","15","2","0","23","49","38","65","129","45","7","15","31.82"
"33","Ryan Getzlaf","ANA","C","67","1304","14","34","13","21","48","75.00","133","10.53","12.17","271","208","118","44","8","11","58","22","19","2","1","13","79","60","150","62","74","551","463","54.34"
"115","James van Riemsdyk","PHI","L","66","1095.8333333333","27","21","9","12","48","66.67","167","16.17","19.19","262","206","155","95","9","24","18","9","9","0","0","6","19","25","34","69","16","6","5","54.55"
"316","Yanni Gourde","T.B","C","80","1267.0666666667","22","26","16","10","48","62.34","130","16.92","15.88","209","170","134","73","8","20","66","19","13","4","2","24","40","50","83","133","30","151","132","53.36"
"349","Chris Tierney","OTT","C","81","1379.4833333333","9","39","23","16","48","65.75","116","7.76","12.51","189","148","110","53","12","15","26","9","8","0","1","13","61","53","30","74","54","531","512","50.91"
"415","Anthony Mantha","DET","R","67","1194.4166666667","25","23","15","8","48","69.57","198","12.63","17.13","335","254","167","63","11","15","30","12","10","2","0","16","60","37","67","51","23","22","28","44.00"
"456","Viktor Arvidsson","NSH","L, R","58","1110.45","34","14","7","7","48","63.16","196","17.35","19.64","337","273","188","87","17","19","26","13","13","0","0","27","37","41","18","81","23","2","15","11.76"
"25","Ryan Suter","MIN","D","82","2188.75","7","40","15","25","47","42.34","136","5.15","7.03","318","209","69","16","5","24","41","19","18","1","0","9","30","25","78","44","109","1","0","100.00"
"129","Mikael Backlund","CGY","C","77","1377.6833333333","21","26","19","7","47","59.49","205","10.24","22.43","340","268","204","88","13","21","52","24","24","0","0","11","55","78","52","68","26","511","520","49.56"
"172","Tyler Johnson","T.B","C","80","1275.8666666667","29","18","9","9","47","52.22","163","17.79","19.78","268","220","180","81","7","17","28","14","14","0","0","18","32","13","50","67","32","230","243","48.63"
"274","Andrew Shaw","MTL","R","63","1002.65","19","28","18","10","47","73.44","135","14.07","18.11","223","175","163","98","4","19","71","22","18","1","3","17","24","16","128","116","36","181","203","47.14"
"284","Brandon Saad","CHI","L","80","1415.0833333333","23","24","17","7","47","66.20","195","11.79","21.5","318","260","215","105","13","16","12","6","6","0","0","17","36","35","52","71","25","24","38","38.71"
"302","J.T. Miller","T.B","C","75","1099.8666666667","13","34","15","19","47","55.29","108","12.04","11.45","192","159","131","55","5","13","30","14","14","0","0","16","38","42","115","70","23","259","265","49.43"
"360","Josh Anderson","CBJ","R","82","1395.9333333333","27","20","10","10","47","58.02","230","11.74","23.1","383","305","222","98","17","16","60","27","25","2","0","17","19","46","214","101","40","12","26","31.58"
"396","Tyler Bertuzzi","DET","L","73","1205.6833333333","21","26","11","15","47","62.67","131","16.03","15.26","249","192","156","85","8","10","36","13","11","2","0","16","43","34","76","110","39","10","20","33.33"
"436","Jakub Vrana","WSH","L","82","1151.3","24","23","15","8","47","70.15","161","14.91","16.56","277","231","172","65","10","12","27","12","11","1","0","20","50","41","47","54","32","4","6","40.00"
"515","Clayton Keller","ARI","C","82","1495.2833333333","14","33","19","14","47","64.38","200","7.00","18.91","350","276","183","60","10","31","24","11","11","0","0","32","37","46","16","119","21","28","56","33.33"
"535","Nico Hischier","N.J","C","69","1249.1666666667","17","30","14","16","47","58.75","160","10.63","18.46","248","208","179","108","5","12","24","8","7","0","1","27","32","38","53","93","44","437","529","45.24"
"52","Travis Zajac","N.J","C","80","1541.6666666667","19","27","8","19","46","62.16","120","15.83","15.04","197","156","141","63","9","16","20","10","10","0","0","13","33","63","66","64","38","841","605","58.16"
"96","Jeff Petry","MTL","D","82","1894.6333333333","13","33","17","16","46","45.10","172","7.56","9.86","437","281","94","17","4","20","28","14","14","0","0","9","129","39","190","147","123","0","1","0.00"
"124","David Perron","STL","L","57","974.43333333333","23","23","13","10","46","79.31","112","20.54","10.23","204","150","129","40","6","11","46","22","22","0","0","11","17","41","52","66","13","15","18","45.45"
"130","Ryan McDonagh","T.B","D","82","1811.2333333333","9","37","17","20","46","42.20","128","7.03","7.01","243","173","69","17","6","11","34","17","17","0","0","16","66","46","98","72","161","0","0","-"
"245","Brett Connolly","WSH","R","81","1079.7333333333","22","24","13","11","46","73.02","139","15.83","15.29","243","187","160","73","6","13","24","12","12","0","0","10","25","33","53","62","25","9","22","29.03"
"402","Seth Jones","CBJ","D","75","1936.7","9","37","19","18","46","42.99","184","4.89","10.59","377","277","85","12","8","16","28","14","14","0","0","9","69","59","106","111","133","0","0","-"
"142","Drew Doughty","L.A","D","82","2179.0833333333","8","37","20","17","45","51.72","154","5.19","7.77","318","218","65","13","5","25","44","22","22","0","0","8","105","23","168","86","120","0","0","-"
"150","Erik Karlsson","S.J","D","53","1297.85","3","42","21","21","45","47.37","169","1.78","7.8","389","250","78","10","6","30","22","10","10","0","0","5","63","59","44","78","69","0","1","0.00"
"258","John Klingberg","DAL","D","64","1569.95","10","35","12","23","45","52.94","153","6.54","7.66","345","218","90","15","5","20","12","6","6","0","0","8","79","26","42","105","77","0","0","-"
"547","Brady Tkachuk","OTT","L","71","1137.7666666667","22","23","16","7","45","67.16","214","10.28","25.3","335","275","218","126","5","32","75","28","24","3","1","29","39","22","174","136","26","73","76","48.99"
"186","Oliver Ekman-Larsson","ARI","D","81","1914.7833333333","14","30","19","11","44","51.16","176","7.95","10.74","430","279","127","13","9","27","52","25","25","0","0","20","65","32","162","155","52","0","0","-"
"187","Nazem Kadri","TOR","C","73","1181.85","16","28","15","13","44","60.27","184","8.70","22.91","366","287","237","102","5","24","43","16","14","1","1","27","47","42","85","131","13","403","327","55.21"
"203","Mattias Ekholm","NSH","D","80","1869.1166666667","8","36","17","19","44","48.89","146","5.48","6.91","306","208","79","16","4","16","47","22","21","1","0","13","69","32","68","87","107","0","0","-"
