"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"290","Nikita Kucherov","T.B","R","82","1637.1666666667","41","87","53","34","128","82.58","246","16.67","21.53","499","363","255","54","15","22","62","26","25","0","1","24","89","58","44","101","31","0","3","0.00"
"467","Connor McDavid","EDM","C","78","1781.3","41","75","57","18","116","81.69","240","17.08","32.14","423","327","295","121","7","21","20","10","10","0","0","35","89","99","39","108","30","428","490","46.62"
"126","Patrick Kane","CHI","R","81","1821.6166666667","44","66","40","26","110","77.46","341","12.90","31.22","598","454","311","93","17","25","22","11","11","0","0","23","54","42","21","96","18","1","4","20.00"
"428","Leon Draisaitl","EDM","C","82","1852.45","50","55","33","22","105","74.47","231","21.65","27.93","404","311","263","116","16","22","52","26","26","0","0","29","116","71","57","121","26","677","663","50.52"
"63","Sidney Crosby","PIT","C","79","1658.35","35","65","49","16","100","71.94","220","15.91","28.59","348","290","241","133","8","27","36","13","12","0","1","25","67","54","85","88","43","1012","814","55.42"
"88","Brad Marchand","BOS","L","79","1550.2666666667","36","64","35","29","100","74.63","231","15.58","24.91","430","327","236","98","25","22","96","33","28","2","3","36","84","59","46","80","19","45","60","42.86"
"269","Johnny Gaudreau","CGY","L","82","1646.0833333333","36","63","39","24","99","75.57","245","14.69","26.02","436","338","231","97","11","22","24","12","12","0","0","43","124","58","12","66","12","1","2","33.33"
"399","Nathan MacKinnon","COL","C","82","1811.5","41","58","32","26","99","70.21","365","11.23","32.97","589","455","334","126","12","35","34","17","17","0","0","48","64","48","54","95","31","517","666","43.70"
"143","Steven Stamkos","T.B","C","82","1500.6166666667","45","53","37","16","98","74.81","234","19.23","22.84","425","328","259","65","8","22","37","17","16","1","0","23","60","28","72","88","40","506","447","53.10"
"400","Aleksander Barkov","FLA","C","82","1833.0166666667","35","61","37","24","96","66.67","206","16.99","23.74","318","277","198","102","13","19","8","4","4","0","0","35","69","100","28","139","61","1041","898","53.69"
"490","Mitchell Marner","TOR","C, R","82","1625.4333333333","26","68","52","16","94","70.68","233","11.16","23.4","450","319","274","71","15","31","22","11","11","0","0","20","67","78","29","87","43","7","4","63.64"
"293","Jonathan Huberdeau","FLA","L","82","1545.9833333333","30","62","40","22","92","76.67","226","13.27","23.84","358","299","218","103","9","27","40","16","15","0","1","24","84","43","57","84","45","12","7","63.16"
"452","Brayden Point","T.B","C","79","1494.6","41","51","28","23","92","65.71","192","21.35","27.26","312","251","256","131","11","22","28","14","14","0","0","23","25","35","31","94","43","435","421","50.82"
"49","Blake Wheeler","WPG","R","82","1698.2","20","71","47","24","91","73.39","231","8.66","19.8","378","304","194","64","7","17","60","27","25","2","0","17","33","42","81","86","53","31","57","35.23"
"47","Alex Ovechkin","WSH","L","81","1694.6166666667","51","38","26","12","89","64.49","338","15.09","34.8","668","501","290","85","14","28","40","20","20","0","0","20","70","47","223","61","41","1","4","20.00"
"181","John Tavares","TOR","C","82","1565.3166666667","47","41","25","16","88","66.17","286","16.43","38.65","485","401","365","203","12","37","34","16","16","0","0","26","72","53","59","115","53","832","696","54.45"
"474","Mikko Rantanen","COL","R","74","1542.3","31","56","34","22","87","72.50","193","16.06","19.17","343","260","175","61","5","20","54","27","27","0","0","27","35","39","59","138","41","17","29","36.96"
"498","Artemi Panarin","CBJ","L","79","1568.6666666667","28","59","44","15","87","76.32","191","14.66","17.17","359","257","172","44","5","18","23","10","9","1","0","22","56","31","14","43","17","1","3","25.00"
"97","Claude Giroux","PHI","C","82","1759.45","22","63","37","26","85","69.67","229","9.61","17.28","419","317","188","53","6","20","24","12","12","0","0","14","48","46","28","59","19","674","490","57.90"
"297","Mark Scheifele","WPG","C","82","1792.7","38","46","27","19","84","64.62","199","19.10","27.33","335","273","249","106","6","20","38","15","14","0","1","33","48","74","54","130","54","803","933","46.26"
"34","Brent Burns","S.J","D","82","2058.1333333333","16","67","39","28","83","58.45","300","5.33","14.16","689","435","145","25","9","41","34","13","12","0","1","8","118","88","90","65","105","0","1","0.00"
"475","Sebastian Aho","CAR","C, R","82","1652.3666666667","30","53","29","24","83","70.34","243","12.35","31.13","466","367","249","113","15","33","26","13","13","0","0","27","64","81","65","110","34","585","619","48.59"
"100","Phil Kessel","PIT","R","82","1474.2166666667","27","55","32","23","82","82.00","215","12.56","22.75","370","281","217","83","12","28","28","13","13","0","0","4","78","33","12","60","18","4","5","44.44"
"404","Sean Monahan","CGY","C","78","1486.2666666667","34","48","30","18","82","68.33","211","16.11","29.43","359","278","260","133","12","27","12","6","6","0","0","22","58","78","36","61","24","454","434","51.13"
"468","Jack Eichel","BUF","C","77","1573.9833333333","28","54","31","23","82","73.21","303","9.24","26.3","485","392","226","95","17","30","26","12","12","0","0","25","76","38","70","113","51","597","673","47.01"
"105","Jonathan Toews","CHI","C","82","1722.5666666667","35","46","29","17","81","64.80","236","14.83","27.51","355","291","234","115","10","22","40","20","20","0","0","18","52","72","42","134","44","1059","821","56.33"
"444","David Pastrnak","BOS","R","66","1237.75","38","43","28","15","81","75.00","235","16.17","22.92","431","339","198","74","18","17","32","15","15","0","0","32","90","36","57","114","25","1","2","33.33"
"247","Tyler Seguin","DAL","C","82","1701.3666666667","33","47","32","15","80","72.73","334","9.88","33.64","566","432","307","125","8","47","18","9","9","0","0","17","55","47","74","33","47","676","579","53.86"
"38","Patrice Bergeron","BOS","C","65","1200.3666666667","32","47","26","21","79","69.30","205","15.61","25.81","369","299","228","95","15","17","30","15","15","0","0","14","27","42","43","46","60","786","603","56.59"
"403","Elias Lindholm","CGY","C","81","1623.1166666667","27","51","26","25","78","62.40","182","14.84","19.86","311","246","172","88","10","24","20","9","9","0","0","13","46","50","82","69","39","509","428","54.32"
"177","Ryan O'Reilly","STL","C","82","1701.6833333333","28","49","28","21","77","70.00","234","11.97","25.33","368","305","247","111","10","24","12","6","6","0","0","22","33","94","31","51","36","1086","824","56.86"
"508","Matthew Tkachuk","CGY","L","80","1407.9166666667","34","43","26","17","77","71.30","207","16.43","26.17","344","273","208","126","8","30","62","24","21","2","1","33","56","42","104","101","13","6","7","46.15"
"298","Sean Couturier","PHI","C","80","1770.1666666667","33","43","27","16","76","63.87","223","14.80","26.76","385","318","239","117","8","27","34","13","12","0","1","25","48","47","40","101","60","755","568","57.07"
"333","Teuvo Teravainen","CAR","L","82","1469.2166666667","21","55","36","19","76","77.55","167","12.57","17.4","318","245","161","68","8","24","12","6","6","0","0","6","64","55","35","53","23","18","25","41.86"
"376","Jake Guentzel","PIT","C, L","82","1586.75","40","36","17","19","76","69.09","227","17.62","25.67","375","302","263","134","10","22","26","13","13","0","0","21","42","45","105","170","47","10","20","33.33"
"513","Alex DeBrincat","CHI","L, R","82","1451.4","41","35","17","18","76","66.67","220","18.64","21.98","404","299","257","75","11","14","15","6","5","1","0","11","50","51","35","96","26","16","19","45.71"
"292","Gabriel Landeskog","COL","L","73","1543.85","34","41","23","18","75","61.98","243","13.99","25.59","363","320","222","135","4","20","51","22","21","1","0","25","47","46","120","102","64","361","333","52.02"
"46","Mark Giordano","CGY","D","78","1890.65","17","57","25","32","74","51.39","221","7.69","12.44","490","334","113","22","6","35","69","32","31","1","0","13","65","73","58","141","144","0","0","-"
"101","Nicklas Backstrom","WSH","C","80","1596.2166666667","22","52","30","22","74","64.91","169","13.02","18.86","287","226","173","77","4","23","30","15","15","0","0","13","62","53","54","80","30","700","739","48.64"
"296","Mika Zibanejad","NYR","C","82","1685.8","30","44","25","19","74","75.51","236","12.71","20.49","392","316","170","69","14","13","47","17","15","1","1","16","69","69","134","131","66","831","842","49.67"
"332","Tomas Hertl","S.J","C","77","1464.5166666667","35","39","24","15","74","65.49","176","19.89","26.5","309","250","224","133","12","17","18","9","9","0","0","19","44","57","53","112","64","609","574","51.48"
"58","David Krejci","BOS","C","81","1431.9333333333","20","53","31","22","73","78.49","139","14.39","13.43","241","203","138","53","13","9","16","8","8","0","0","17","44","54","28","80","24","530","565","48.40"
"260","Mark Stone","OTT, VGK","R","77","1531.1666666667","33","40","25","15","73","67.59","199","16.58","21.98","345","274","221","98","11","27","27","12","11","1","0","24","62","122","72","67","71","28","34","45.16"
"437","Dylan Larkin","DET","C","76","1660","32","41","26","15","73","75.26","287","11.15","26.84","494","382","263","113","20","25","75","32","30","1","1","28","100","69","80","76","38","865","722","54.51"
"510","Auston Matthews","TOR","C","68","1261.7333333333","37","36","23","13","73","79.35","251","14.74","28.03","447","359","321","112","13","26","12","6","6","0","0","14","67","57","28","105","60","475","436","52.14"
"48","Evgeni Malkin","PIT","C","68","1278.6666666667","21","51","31","20","72","79.12","188","11.17","18.16","324","245","196","76","10","25","89","31","27","1","3","26","84","64","54","94","33","381","453","45.68"
"51","Alexander Radulov","DAL","R","70","1384.8","29","43","23","20","72","68.57","210","13.81","22.46","368","275","208","98","11","28","54","27","27","0","0","16","74","43","60","85","83","6","10","37.50"
"226","Evgeny Kuznetsov","WSH","C","76","1428.1","21","51","25","26","72","65.45","193","10.88","22.35","335","280","168","78","9","14","50","25","25","0","0","18","62","46","46","42","20","396","627","38.71"
