"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"372","Connor McDavid","EDM","C","80","1765.3","44","79","49","30","123","81.46","315","13.97","40.84","481","393","338","157","10","39","45","16","14","1","1","50","68","73","75","124","26","562","484","53.73"
"183","Johnny Gaudreau","CGY","L","82","1522.9833333333","40","75","52","23","115","72.78","262","15.27","28.65","463","348","259","87","19","25","26","9","8","0","1","24","81","50","10","39","9","1","0","100.00"
"199","Jonathan Huberdeau","FLA","L","80","1553.65","30","85","53","32","115","77.18","222","13.51","25.95","344","280","229","107","15","31","54","19","17","0","2","27","85","63","99","86","28","18","36","33.33"
"322","Leon Draisaitl","EDM","C","80","1787.9333333333","55","55","33","22","110","75.86","278","19.78","35.89","482","387","289","123","18","26","40","19","19","0","0","28","88","74","53","140","25","887","774","53.40"
"420","Kirill Kaprizov","MIN","L","81","1547.6166666667","47","61","39","22","108","80.00","289","16.26","27.9","515","400","287","93","17","28","34","16","16","0","0","43","72","57","73","131","29","5","4","55.56"
"77","Steven Stamkos","T.B","C","81","1496.7666666667","42","64","43","21","106","75.71","241","17.43","25.63","401","323","225","74","29","21","36","18","18","0","0","10","24","30","93","76","31","545","523","51.03"
"434","Auston Matthews","TOR","C","73","1504.5","60","46","26","20","106","72.11","348","17.24","38.29","599","484","407","146","16","41","18","9","9","0","0","13","48","92","67","101","62","691","538","56.22"
"432","Matthew Tkachuk","CGY","L","82","1467.6","42","62","39","23","104","70.75","253","16.60","35.71","455","374","300","157","8","27","68","33","33","0","0","35","91","41","93","57","20","20","23","46.51"
"207","J.T. Miller","VAN","C","80","1684.2333333333","32","67","36","31","99","76.74","206","15.53","24.99","350","293","234","102","9","30","47","22","21","1","0","21","62","56","172","85","56","667","566","54.10"
"405","Mitchell Marner","TOR","R","72","1503.5666666667","35","62","36","26","97","71.85","224","15.63","24.14","420","315","246","87","13","17","16","8","8","0","0","14","63","72","75","74","31","10","8","55.56"
"87","Roman Josi","NSH","D","80","2043.7833333333","23","73","36","37","96","63.16","281","8.19","15.79","563","385","154","28","4","37","46","23","23","0","0","18","71","48","66","138","133","0","0","-"
