"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"322","Connor McDavid","EDM","C","56","1240.6","33","72","50","22","105","84.00","200","16.50","23.25","314","257","221","97","8","24","20","10","10","0","0","29","47","36","61","89","24","316","322","49.53"
"285","Leon Draisaitl","EDM","C","56","1242.55","31","53","30","23","84","71.79","168","18.45","20.77","302","229","171","62","6","13","22","11","11","0","0","12","71","56","37","97","12","574","457","55.67"
"41","Brad Marchand","BOS","C, L","53","1002.25","29","40","26","14","69","77.53","143","20.28","17.22","228","182","133","55","8","13","46","23","23","0","0","18","36","42","66","56","11","11","24","31.43"
"346","Mitchell Marner","TOR","R","55","1233.4833333333","20","47","34","13","67","75.28","156","12.82","19.19","295","208","198","60","11","25","20","10","10","0","0","13","69","53","23","52","41","4","1","80.00"
"329","Mikko Rantanen","COL","R","52","1035.7333333333","30","36","18","18","66","70.97","177","16.95","20.42","310","240","174","70","4","20","34","17","17","0","0","18","16","32","26","70","20","32","32","50.00"
"366","Auston Matthews","TOR","C","52","1120.7666666667","41","25","15","10","66","77.65","222","18.47","26.76","366","315","273","125","4","23","10","5","5","0","0","14","53","47","57","65","47","450","417","51.90"
"66","Patrick Kane","CHI","R","55","1221.0333333333","15","50","32","18","65","77.38","187","8.02","15.24","316","235","176","40","6","15","14","7","7","0","0","6","45","32","12","56","14","2","5","28.57"
"262","Nathan MacKinnon","COL","C","48","978.03333333333","20","45","28","17","65","74.71","206","9.71","19.28","374","280","207","56","9","28","37","12","10","1","1","22","29","16","38","51","15","239","254","48.48"
"185","Mark Scheifele","WPG","C","56","1174.95","21","42","20","22","63","81.82","126","16.67","15.94","205","163","133","56","1","18","12","6","6","0","0","14","37","48","31","105","38","352","355","49.79"
"27","Sidney Crosby","PIT","C","55","1121.9","24","38","20","18","62","72.94","159","15.09","18.86","251","208","156","72","7","17","26","13","13","0","0","15","54","51","44","57","28","676","586","53.57"
"159","Mark Stone","VGK","R","55","1048.35","21","40","26","14","61","78.21","98","21.43","15.36","173","145","123","60","4","9","28","10","8","2","0","10","24","58","31","52","33","12","18","40.00"
"181","Jonathan Huberdeau","FLA","L","55","1012.5666666667","20","41","22","19","61","71.76","123","16.26","10.94","190","153","100","36","9","10","36","14","13","0","1","22","43","37","51","50","11","17","22","43.59"
"65","David Perron","STL","L","56","1038.75","19","39","20","19","58","82.86","151","12.58","13.51","288","202","133","32","5","13","22","11","11","0","0","12","32","17","45","34","25","0","6","0.00"
"263","Aleksander Barkov","FLA","C","50","1046.8666666667","26","32","25","7","58","74.36","176","14.77","19.31","261","221","172","72","5","13","14","7","7","0","0","16","23","39","31","81","37","563","463","54.87"
"354","Artemi Panarin","NYR","L","42","825","17","41","25","16","58","84.06","106","16.04","10.46","222","165","115","21","4","13","6","3","3","0","0","9","26","21","13","21","7","0","3","0.00"
"244","Jake Guentzel","PIT","L","56","1134.9666666667","23","34","20","14","57","66.28","141","16.31","19.03","238","184","171","85","8","13","28","14","14","0","0","20","23","17","43","115","32","3","9","25.00"
