"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"330","Sebastian Aho","CAR","C","56","1090.35","24","33","24","9","57","66.28","148","16.22","18.64","251","208","159","71","5","13","32","16","16","0","0","14","61","33","38","51","25","365","327","52.75"
"371","Alex DeBrincat","CHI","L","51","1045.8333333333","32","24","14","10","56","72.73","153","20.92","17.04","262","196","169","60","6","12","12","6","6","0","0","15","43","31","68","87","21","16","24","40.00"
"99","Ryan O'Reilly","STL","C","56","1161.9333333333","24","30","14","16","54","62.07","129","18.60","13.05","185","161","109","47","5","19","18","9","9","0","0","9","24","43","24","38","26","704","492","58.86"
"50","Nicklas Backstrom","WSH","C","55","1022.7166666667","15","38","16","22","53","69.74","91","16.48","10.68","161","126","91","39","5","11","14","7","7","0","0","8","24","33","25","33","27","353","378","48.29"
"180","Gabriel Landeskog","COL","L","54","1077.6833333333","20","32","12","20","52","57.14","155","12.90","20.17","271","219","187","104","6","27","34","17","17","0","0","15","35","16","81","76","28","288","221","56.58"
"15","Joe Pavelski","DAL","C","56","1065.2333333333","25","26","14","12","51","65.38","139","17.99","18.22","242","211","151","86","6","16","16","8","8","0","0","12","20","17","64","45","39","362","334","52.01"
"70","Max Pacioretty","VGK","L","48","861.08333333333","24","27","15","12","51","72.86","174","13.79","16.66","285","231","147","55","9","14","14","7","7","0","0","8","17","15","33","66","29","20","23","46.51"
"357","Kirill Kaprizov","MIN","L","55","1006.3666666667","27","24","17","7","51","78.46","157","17.20","17.16","280","228","160","72","5","15","16","8","8","0","0","25","35","27","29","60","18","3","21","12.50"
"28","Anze Kopitar","L.A","C","56","1186.2333333333","13","37","24","13","50","76.92","118","11.02","12.72","216","162","110","42","4","20","10","5","5","0","0","11","34","12","45","51","37","661","493","57.28"
"101","John Tavares","TOR","C","56","1019.0333333333","19","31","18","13","50","71.43","163","11.66","21.29","278","222","218","102","7","17","14","7","7","0","0","13","55","32","51","81","28","471","381","55.28"
"184","Mika Zibanejad","NYR","C","56","1125.6166666667","24","26","17","9","50","64.94","171","14.04","20.86","316","250","177","77","10","11","18","9","9","0","0","11","45","39","75","53","44","479","555","46.32"
"319","Kyle Connor","WPG","L","56","1050.4","26","24","13","11","50","70.42","166","15.66","17.41","302","228","197","61","6","17","12","6","6","0","0","9","32","37","18","54","18","6","4","60.00"
"103","Evander Kane","S.J","L","56","1131.0333333333","22","27","19","8","49","70.00","194","11.34","20.02","322","255","184","81","10","30","42","21","21","0","0","18","33","30","97","67","22","23","34","40.35"
"165","Johnny Gaudreau","CGY","L","56","1031.15","19","30","22","8","49","74.24","112","16.96","11.97","197","156","112","39","7","5","6","3","3","0","0","18","59","23","8","29","9","0","1","0.00"
"183","Ryan Strome","NYR","C","56","1023.2166666667","14","35","19","16","49","63.64","129","10.85","13.18","211","164","129","57","3","15","39","14","12","1","1","10","32","22","22","56","18","321","422","43.20"
"334","Brock Boeser","VAN","R","56","1081.9","23","26","16","10","49","62.03","141","16.31","16.46","247","195","156","65","9","12","16","7","7","0","0","6","31","16","32","28","20","8","14","36.36"
"13","Patrice Bergeron","BOS","C","54","983.98333333333","23","25","11","14","48","55.17","182","12.64","19.25","298","256","195","83","12","10","16","7","7","0","0","4","14","35","49","34","36","714","433","62.25"
"115","Tyson Barrie","EDM","D","56","1198.2","8","40","13","27","48","50.53","146","5.48","7","291","192","74","11","2","13","10","5","5","0","0","11","43","16","26","79","59","0","0","-"
"243","Pavel Buchnevich","NYR","R","54","1011.5666666667","20","28","17","11","48","78.69","120","16.67","12.88","201","161","109","46","4","14","42","14","11","2","1","15","39","30","49","71","29","4","14","22.22"
"299","David Pastrnak","BOS","R","48","893.66666666667","20","28","21","7","48","73.85","176","11.36","14.3","334","247","149","40","14","17","24","12","12","0","0","22","31","25","35","60","13","2","5","28.57"
"306","Brayden Point","T.B","C","56","1032.4166666667","23","25","12","13","48","65.75","131","17.56","15.93","213","178","159","68","8","12","11","4","3","1","0","21","11","27","23","53","18","257","263","49.42"
"266","Elias Lindholm","CGY","C","56","1114.2","19","28","12","16","47","67.14","130","14.62","14.01","202","157","135","48","4","10","22","11","11","0","0","12","26","30","53","37","34","509","482","51.36"
"367","Adam Fox","NYR","D","55","1358.85","5","42","19","23","47","52.22","102","4.90","6.04","181","139","61","11","2","8","14","7","7","0","0","5","36","38","23","65","102","0","1","0.00"
"18","Blake Wheeler","WPG","R","50","917.03333333333","15","31","20","11","46","79.31","113","13.27","11.27","169","144","113","47","3","5","50","20","19","0","1","10","16","25","63","56","30","3","5","37.50"
"161","Ondrej Palat","T.B","L","55","960.05","15","31","16","15","46","67.65","111","13.51","12.21","189","148","111","42","2","15","26","13","13","0","0","13","17","26","82","60","43","0","6","0.00"
"190","J.T. Miller","VAN","C","53","1111.1666666667","15","31","19","12","46","62.16","106","14.15","12.16","198","159","126","42","1","13","43","20","19","1","0","6","47","29","90","63","24","279","247","53.04"
"289","Nikolaj Ehlers","WPG","L","47","794.03333333333","21","25","10","15","46","80.70","148","14.19","11.32","253","194","132","37","5","12","15","6","5","1","0","21","19","18","26","62","12","1","0","100.00"
"33","Kris Letang","PIT","D","55","1355.6666666667","7","38","26","12","45","46.88","132","5.30","5.91","261","179","70","7","4","19","32","16","16","0","0","8","55","23","92","94","65","0","1","0.00"
"102","Victor Hedman","T.B","D","54","1352.4333333333","9","36","22","14","45","51.14","136","6.62","8.34","316","207","94","11","4","10","28","13","13","0","0","10","28","12","51","69","73","0","0","-"
"335","Mathew Barzal","NYI","C","55","1031","17","28","14","14","45","70.31","134","12.69","14.56","217","173","161","73","7","13","48","19","18","0","1","19","45","28","22","70","13","152","198","43.43"
"405","Jason Robertson","DAL","L","51","861.21666666667","17","28","21","7","45","72.58","128","13.28","10.81","205","158","115","52","4","13","16","8","8","0","0","7","28","19","28","54","13","5","2","71.43"
"23","David Krejci","BOS","C","51","873.91666666667","8","36","24","12","44","73.33","83","9.64","7.82","141","112","73","26","1","11","16","8","8","0","0","5","28","21","25","43","26","321","271","54.22"
"86","John Carlson","WSH","D","52","1236.6666666667","10","34","17","17","44","53.66","128","7.81","8.25","251","191","67","8","2","7","12","6","6","0","0","4","21","24","52","58","69","0","0","-"
"133","Tyler Toffoli","MTL","C, R","52","911.23333333333","28","16","9","7","44","70.97","158","17.72","18.55","265","209","171","65","13","16","24","12","12","0","0","8","31","25","75","51","12","21","33","38.89"
"197","Jonathan Marchessault","VGK","C","55","958.3","18","26","17","9","44","77.19","176","10.23","16.06","331","241","172","49","7","24","39","14","12","1","1","12","22","29","44","60","14","41","47","46.59"
"248","Oliver Bjorkstrand","CBJ","R","56","986.13333333333","18","26","18","8","44","80.00","143","12.59","12.6","237","203","120","43","7","14","23","5","3","1","1","3","26","39","42","94","30","3","4","42.86"
"253","Andre Burakovsky","COL","L","53","799.85","19","25","15","10","44","80.00","102","18.63","9.11","180","133","109","30","8","10","10","5","5","0","0","7","24","16","22","69","16","2","2","50.00"
"411","Cale Makar","COL","D","44","1068.8833333333","8","36","22","14","44","52.38","104","7.69","6.36","225","141","58","14","2","16","12","6","6","0","0","13","21","32","49","41","36","0","0","-"
"30","T.J. Oshie","WSH","R","53","957.38333333333","22","21","13","8","43","60.56","106","20.75","13.4","170","136","120","55","4","11","18","9","9","0","0","12","28","28","70","77","27","139","151","47.93"
"46","Claude Giroux","PHI","C","54","977.7","16","27","15","12","43","63.24","120","13.33","12.14","211","176","108","47","2","12","12","6","6","0","0","16","16","19","32","45","6","484","328","59.61"
"49","Phil Kessel","ARI","R","56","956.9","20","23","9","14","43","81.13","115","17.39","10.7","206","144","113","33","5","16","12","6","6","0","0","3","20","19","8","16","9","1","3","25.00"
"59","James van Riemsdyk","PHI","L","56","926.45","17","26","11","15","43","66.15","132","12.88","13.78","197","169","135","77","5","11","14","7","7","0","0","5","10","20","40","71","16","9","9","50.00"
"71","Jakub Voracek","PHI","R","53","896.6","9","34","18","16","43","71.67","104","8.65","9.95","195","142","104","40","5","13","18","9","9","0","0","20","27","19","17","56","20","7","10","41.18"
"167","Vincent Trocheck","CAR","C","47","856.61666666667","17","26","14","12","43","76.79","123","13.82","15.34","189","167","141","65","9","15","20","10","10","0","0","14","31","17","107","87","28","431","338","56.05"
"212","Tomas Hertl","S.J","C","50","956.78333333333","19","24","13","11","43","82.69","112","16.96","16.54","190","154","135","68","8","14","27","12","11","1","0","12","24","35","39","37","39","485","396","55.05"
"336","Roope Hintz","DAL","L","41","747.51666666667","15","28","19","9","43","72.88","92","16.30","11.16","186","139","122","59","3","11","4","2","2","0","0","6","23","8","52","48","15","231","238","49.25"
"365","Matthew Tkachuk","CGY","L","56","1016.5333333333","16","27","19","8","43","63.24","151","10.60","18.35","262","209","183","103","4","18","55","23","20","3","0","24","61","21","132","60","9","3","4","42.86"
"17","Alex Ovechkin","WSH","L","45","877.58333333333","24","18","11","7","42","60.87","182","13.19","17.33","351","265","144","52","10","16","12","6","6","0","0","13","20","11","98","27","23","0","2","0.00"
"45","Jeff Petry","MTL","D","55","1250.5666666667","12","30","13","17","42","53.85","128","9.38","6.64","259","171","73","17","2","14","20","10","10","0","0","9","75","10","97","93","60","0","0","-"
"154","Bryan Rust","PIT","R","56","1104.55","22","20","10","10","42","50.60","154","14.29","20.46","258","219","181","88","6","10","18","9","9","0","0","10","30","30","62","108","30","3","3","50.00"
"187","Dougie Hamilton","CAR","D","55","1249.7166666667","10","32","16","16","42","46.67","180","5.56","8.89","362","253","107","10","7","20","35","16","15","1","0","4","44","19","52","42","64","0","0","-"
"254","Shea Theodore","VGK","D","53","1194.95","8","34","15","19","42","48.84","161","4.97","8.87","348","223","91","15","4","25","14","7","7","0","0","6","35","25","22","46","43","0","0","-"
"288","William Nylander","TOR","R","51","846.63333333333","17","25","16","9","42","75.00","133","12.78","16.27","217","180","151","68","6","18","16","8","8","0","0","10","41","30","12","67","15","13","10","56.52"
"430","Andrei Svechnikov","CAR","R","55","964.65","15","27","13","14","42","58.33","147","10.20","17.26","288","202","165","73","5","19","42","21","21","0","0","18","45","23","114","93","18","2","4","33.33"
"186","Sean Couturier","PHI","C","45","869.76666666667","18","23","13","10","41","73.21","120","15.00","12.33","206","160","123","52","6","19","8","4","4","0","0","11","14","21","34","60","22","427","323","56.93"
"375","Jakob Chychrun","ARI","D","56","1309.7333333333","18","23","13","10","41","54.67","176","10.23","9.78","355","256","74","20","5","30","42","21","21","0","0","10","36","20","59","71","89","0","0","-"
"404","Nick Suzuki","MTL","C","56","1018.1666666667","15","26","17","9","41","67.21","110","13.64","11.31","204","155","119","46","8","19","26","13","13","0","0","14","41","30","70","82","38","350","446","43.97"
"409","Martin Necas","CAR","C","53","916.45","14","27","17","10","41","75.93","114","12.28","13","188","157","108","47","4","7","10","5","5","0","0","8","49","17","45","76","32","36","42","46.15"
"424","Quinn Hughes","VAN","D","56","1277.05","3","38","20","18","41","62.12","98","3.06","5.16","233","142","57","9","1","9","22","11","11","0","0","7","60","34","18","78","43","0","0","-"
"284","Sam Reinhart","BUF","R","54","1055.1","25","15","8","7","40","70.18","130","19.23","15.4","215","190","119","60","2","11","10","5","5","0","0","7","22","17","15","75","27","126","150","45.65"
"291","Kevin Fiala","MIN","L","50","844.98333333333","20","20","12","8","40","78.43","162","12.35","16.01","290","227","138","48","11","17","43","16","14","1","1","16","45","41","27","53","13","5","10","33.33"
"178","William Karlsson","VGK","C","56","1045.4333333333","14","25","14","11","39","65.00","111","12.61","14.78","198","146","132","66","5","21","4","2","2","0","0","8","15","30","29","81","29","518","441","54.01"
"251","Andrew Copp","WPG","C","55","1003.1333333333","15","24","13","11","39","72.22","114","13.16","14.36","176","145","120","58","9","18","20","10","10","0","0","13","25","22","67","51","41","123","109","53.02"
"270","Bo Horvat","VAN","C","56","1113.8166666667","19","20","9","11","39","57.35","131","14.50","15.34","226","179","162","71","6","9","23","10","9","1","0","10","22","25","64","53","38","648","577","52.90"
"356","Conor Garland","ARI","R","49","878.11666666667","12","27","22","5","39","73.58","135","8.89","12.05","241","185","117","40","6","14","26","13","13","0","0","29","19","34","26","84","19","7","14","33.33"
"47","Jordan Staal","CAR","C","53","979.73333333333","16","22","10","12","38","64.41","103","15.53","14.55","168","144","129","83","1","13","30","15","15","0","0","8","21","15","135","67","24","628","455","57.99"
"422","Joel Farabee","PHI","L","55","881","20","18","12","6","38","74.51","122","16.39","12.84","189","160","114","57","3","19","28","11","9","2","0","11","20","27","48","77","21","6","9","40.00"
"237","Dominik Kubalik","CHI","L","55","851.95","16","21","11","10","37","75.51","151","10.60","13.01","252","185","129","54","9","12","18","9","9","0","0","9","19","11","54","34","16","0","3","0.00"
"97","Mike Hoffman","STL","C","52","783.33333333333","17","19","9","10","36","64.29","113","15.04","7.72","185","138","80","19","2","10","10","5","5","0","0","6","20","21","29","23","12","6","3","66.67"
"104","Brayden Schenn","STL","C","56","1072.0333333333","16","20","15","5","36","56.25","113","14.16","14.58","180","153","122","52","1","9","35","13","10","3","0","8","19","24","119","69","35","319","290","52.38"
"158","John Klingberg","DAL","D","53","1202.8833333333","7","29","13","16","36","50.00","108","6.48","5.29","231","155","54","9","1","14","23","10","9","1","0","12","51","17","49","122","52","0","0","-"
"201","Yanni Gourde","T.B","C","56","956.13333333333","17","19","17","2","36","67.92","118","14.41","15.7","182","151","122","66","4","20","44","15","12","2","1","17","13","18","51","95","21","316","333","48.69"
"239","MacKenzie Weegar","FLA","D","54","1194.2666666667","6","30","13","17","36","53.73","101","5.94","5.47","182","135","53","11","2","13","45","17","15","1","1","13","52","44","118","96","83","0","0","-"
"247","Carter Verhaeghe","FLA","C","43","762.53333333333","18","18","10","8","36","73.47","107","16.82","13.54","173","136","127","61","5","13","31","13","12","1","0","8","26","19","33","79","14","23","26","46.94"
"268","Darnell Nurse","EDM","D","56","1435","16","20","8","12","36","36.00","155","10.32","7.62","289","208","86","14","1","10","57","20","16","3","1","13","61","24","117","63","100","0","0","-"
"292","Jakub Vrana","DET, WSH","L","50","750.35","19","17","11","6","36","64.29","100","19.00","10.12","196","148","115","36","6","10","10","5","5","0","0","4","31","20","29","22","8","4","5","44.44"
"425","Brady Tkachuk","OTT","L","56","1020.8666666667","17","19","11","8","36","66.67","220","7.73","25.14","319","283","215","127","15","24","69","24","17","7","0","34","37","33","248","71","23","118","131","47.39"
"53","Jamie Benn","DAL","L","52","924.75","11","24","14","10","35","63.64","124","8.87","11.97","209","165","124","58","12","11","33","11","9","1","1","6","36","18","73","51","27","268","210","56.07"
"81","Josh Bailey","NYI","R","54","945.23333333333","8","27","15","12","35","63.64","77","10.39","6.61","122","98","72","23","2","6","4","2","2","0","0","0","39","19","13","32","19","14","18","43.75"
"130","Mats Zuccarello","MIN","R","42","700.63333333333","11","24","15","9","35","87.50","74","14.86","6.91","143","111","74","28","8","12","8","4","4","0","0","7","18","18","12","26","19","11","21","34.38"
"179","Ryan Nugent-Hopkins","EDM","C","52","1080.1666666667","16","19","10","9","35","45.45","135","11.85","16.16","243","190","172","60","6","13","22","11","11","0","0","11","33","22","26","56","29","73","87","45.63"
"203","Morgan Rielly","TOR","D","55","1298.6833333333","5","30","11","19","35","43.21","101","4.95","5.2","218","146","73","12","3","9","14","7","7","0","0","6","75","19","63","139","61","0","0","-"
"219","Chandler Stephenson","VGK","C","51","922.93333333333","14","21","13","8","35","53.03","83","16.87","9.49","124","106","85","48","7","9","29","9","7","1","1","13","10","23","43","71","35","375","369","50.40"
"232","Connor Brown","OTT","R","56","1021.5666666667","21","14","6","8","35","67.31","123","17.07","12.74","200","162","118","50","16","6","12","6","6","0","0","9","29","56","22","72","30","12","15","44.44"
"321","Pavel Zacha","N.J","C","50","857.75","17","18","10","8","35","81.40","103","16.50","10.48","176","139","113","37","8","13","10","5","5","0","0","7","30","20","42","36","10","312","294","51.49"
"373","Clayton Keller","ARI","R","56","932.86666666667","14","21","11","10","35","56.45","124","11.29","12.7","212","176","120","55","7","6","18","9","9","0","0","18","17","23","20","67","14","19","22","46.34"
"381","Jordan Kyrou","STL","C","55","793.31666666667","14","21","16","5","35","76.09","98","14.29","10.24","171","139","120","46","1","12","12","5","5","0","0","12","22","32","7","77","13","6","6","50.00"
"410","Josh Norris","OTT","C","56","922.23333333333","17","18","8","10","35","74.47","96","17.71","10.96","168","134","103","49","4","13","13","5","4","1","0","10","28","17","72","73","34","379","345","52.35"
"78","Steven Stamkos","T.B","C","38","694.16666666667","17","17","8","9","34","68.00","91","18.68","9.8","153","120","92","31","7","8","16","7","7","0","0","7","7","5","38","15","10","238","178","57.21"
"94","Cam Atkinson","CBJ","R","56","1059.1333333333","15","19","12","7","34","65.38","158","9.49","14.76","250","210","130","56","8","18","4","2","2","0","0","6","45","22","22","22","30","7","23","23.33"
"153","Nino Niederreiter","CAR","R","56","880.18333333333","20","14","8","6","34","66.67","126","15.87","17.08","205","167","149","78","6","19","29","13","12","1","0","12","26","16","68","79","17","1","6","14.29"
"332","Travis Konecny","PHI","R","50","794.8","11","23","12","11","34","75.56","100","11.00","10.13","191","146","101","41","5","15","26","13","13","0","0","13","15","16","55","65","16","6","12","33.33"
"338","Jack Roslovic","CBJ","C","48","811.31666666667","12","22","7","15","34","75.56","85","14.12","8.29","130","110","78","31","6","7","14","7","7","0","0","10","37","19","34","58","22","232","361","39.12"
"417","Drake Batherson","OTT","R","56","922.53333333333","17","17","12","5","34","73.91","111","15.32","12.66","212","170","127","57","7","12","8","4","4","0","0","10","25","15","102","71","29","5","8","38.46"
"52","Alex Killorn","T.B","L","56","1001.6","15","18","11","7","33","53.23","121","12.40","13.06","204","165","109","48","2","7","37","17","16","1","0","14","10","14","59","50","12","1","2","33.33"
"77","Drew Doughty","L.A","D","56","1477.3333333333","8","25","11","14","33","47.83","101","7.92","7.2","235","149","63","8","3","15","26","13","13","0","0","7","40","8","91","87","83","0","0","-"
"85","Jordan Eberle","NYI","R","55","921.53333333333","16","17","9","8","33","63.46","128","12.50","13.59","203","173","139","58","3","3","16","8","8","0","0","12","15","15","30","90","18","3","4","42.86"
"141","Brock Nelson","NYI","C","56","998.83333333333","18","15","10","5","33","67.35","121","14.88","18.04","206","171","156","93","5","16","14","6","6","0","0","7","26","22","36","62","26","349","358","49.36"
"148","Zach Hyman","TOR","L","43","832.68333333333","15","18","7","11","33","63.46","115","13.04","15.33","183","151","146","85","6","17","28","13","13","0","0","14","17","17","69","110","21","18","37","32.73"
"150","Taylor Hall","BOS, BUF","L","53","946.56666666667","10","23","12","11","33","61.11","136","7.35","12.51","236","185","136","66","6","13","26","8","7","0","1","19","31","19","34","71","15","7","10","41.18"
"211","Tom Wilson","WSH","R","47","777.3","13","20","14","6","33","66.00","83","15.66","9.06","138","105","85","44","2","11","96","26","18","4","4","24","16","20","105","80","25","11","15","42.31"
"295","Alex Tuch","VGK","R","55","925.45","18","15","11","4","33","62.26","142","12.68","16.8","242","200","150","62","7","7","28","14","14","0","0","16","18","39","52","76","36","12","20","37.50"
"406","Max Comtois","ANA","L","55","849.9","16","17","13","4","33","82.50","94","17.02","12.19","181","145","130","64","7","11","40","17","15","2","0","10","39","20","93","47","34","12","22","35.29"
"39","Patric Hornqvist","FLA","R","44","738.46666666667","14","18","8","10","32","60.38","145","9.66","16.22","200","180","128","77","4","16","39","14","12","1","1","10","10","18","80","85","23","2","12","14.29"
"68","Mikael Backlund","CGY","C","54","950.1","9","23","9","14","32","69.57","144","6.25","13.59","244","191","132","49","10","15","30","14","14","0","0","9","49","48","43","46","21","387","358","51.95"
"73","Alec Martinez","VGK","D","53","1195.9833333333","9","23","9","14","32","42.67","85","10.59","6.09","183","122","54","15","1","13","12","6","6","0","0","1","26","12","44","107","168","0","0","-"
"87","Roman Josi","NSH","D","47","1146.5","8","24","12","12","32","54.24","137","5.84","7.88","283","198","91","19","3","15","20","10","10","0","0","10","28","15","27","68","78","0","0","-"
"106","Nazem Kadri","COL","C","56","922.31666666667","11","21","16","5","32","62.75","170","6.47","18.53","289","225","166","69","12","21","34","17","17","0","0","27","26","22","36","72","19","392","351","52.76"
"120","Craig Smith","BOS","C","54","803.25","13","19","9","10","32","66.67","132","9.85","10.92","236","187","130","40","9","11","18","9","9","0","0","6","16","24","66","83","8","10","13","43.48"
"199","Torey Krug","STL","D","51","1149.9666666667","2","30","14","16","32","42.11","111","1.80","5.46","209","149","54","11","3","14","25","11","10","1","0","9","25","7","51","46","57","0","0","-"
"214","Filip Forsberg","NSH","L","39","713.36666666667","12","20","9","11","32","82.05","129","9.30","10.65","213","177","111","42","5","17","16","8","8","0","0","9","21","22","47","31","14","3","5","37.50"
"246","Anthony Duclair","FLA","L","43","674.43333333333","10","22","14","8","32","65.31","104","9.62","11.43","167","130","99","53","5","11","18","9","9","0","0","16","15","11","32","49","9","0","2","0.00"
"296","Nick Schmaltz","ARI","C","52","886.98333333333","10","22","11","11","32","59.26","105","9.52","11.08","181","134","118","54","6","17","16","8","8","0","0","19","22","26","15","51","25","230","307","42.83"
"298","Jared McCann","PIT","C, L","43","606.9","14","18","12","6","32","61.54","94","14.89","9.32","157","125","80","41","2","8","8","4","4","0","0","12","14","21","40","67","17","56","73","43.41"
"314","Victor Olofsson","BUF","L","56","974","13","19","13","6","32","61.54","129","10.08","10.57","228","178","108","32","3","15","6","3","3","0","0","4","25","23","17","28","12","1","1","50.00"
"315","Andrew Mangiapane","CGY","L","56","933.31666666667","18","14","12","2","32","71.11","91","19.78","11.92","169","130","128","60","8","11","24","11","11","0","0","11","18","40","51","48","33","2","15","11.76"
"325","Jordan Greenway","MIN","L","56","884.5","6","26","15","11","32","76.19","80","7.50","7.14","142","111","74","32","3","13","49","23","22","1","0","15","18","16","87","67","28","16","17","48.48"
"382","Samuel Girard","COL","D","48","1114.2","5","27","16","11","32","48.48","79","6.33","3.44","186","113","36","4","0","8","16","8","8","0","0","14","32","14","31","76","52","0","0","-"
"415","Neal Pionk","WPG","D","54","1185.4666666667","3","29","19","10","32","45.71","100","3.00","4.24","200","136","46","8","2","15","20","10","10","0","0","14","44","19","137","100","74","0","0","-"
"8","Dustin Brown","L.A","R","49","863.43333333333","17","14","9","5","31","52.54","129","13.18","14.68","207","168","112","57","6","10","18","9","9","0","0","15","31","11","85","57","10","2","2","50.00"
"61","Logan Couture","S.J","C","53","1020.8333333333","17","14","6","8","31","58.49","114","14.91","14.38","196","154","117","50","5","13","25","11","10","1","0","9","16","27","58","49","39","444","456","49.33"
"110","Nick Leddy","NYI","D","56","1209.05","2","29","13","16","31","52.54","79","2.53","4.07","146","106","40","6","1","8","8","4","4","0","0","6","32","6","58","45","54","0","0","-"
"143","Kevin Hayes","PHI","C","55","963.73333333333","12","19","13","6","31","63.27","127","9.45","13.31","226","178","113","47","4","15","22","11","11","0","0","11","27","22","60","30","14","234","244","48.95"
"155","Joonas Donskoi","COL","R","51","741.5","17","14","9","5","31","59.62","86","19.77","14.42","149","122","122","69","2","14","10","5","5","0","0","6","10","18","14","63","25","13","18","41.94"
"170","Blake Coleman","T.B","C","55","850.58333333333","14","17","7","10","31","70.45","122","11.48","13.89","183","154","123","53","9","13","37","17","16","1","0","20","19","25","109","65","20","2","7","22.22"
"304","Christian Dvorak","ARI","C","56","1030.7833333333","17","14","7","7","31","65.96","95","17.89","14.78","154","132","117","72","5","13","12","6","6","0","0","11","18","19","48","51","45","553","509","52.07"
"307","Devon Toews","COL","D","53","1312.3166666667","9","22","9","13","31","41.33","121","7.44","5.62","221","162","69","18","5","11","16","8","8","0","0","12","19","32","44","34","87","0","0","-"
"326","Timo Meier","S.J","R","54","867.28333333333","12","19","10","9","31","68.89","155","7.74","14.21","298","219","161","63","10","19","22","11","11","0","0","16","25","22","75","63","24","8","20","28.57"
"343","Thomas Chabot","OTT","D","49","1287.9166666667","6","25","17","8","31","50.00","120","5.00","5.99","241","162","64","14","5","17","36","17","17","0","0","9","82","18","68","116","72","0","0","-"
"440","Jack Hughes","N.J","C","56","1067.5333333333","11","20","14","6","31","54.39","142","7.75","13.91","257","192","151","54","4","21","16","4","3","0","1","19","74","56","15","70","15","216","395","35.35"
